Câu,Đề,Đáp án
1,"Liquidity refers to
A. the relation between the price and interest rate of an asset.
B. the risk of an asset relative to its selling price.
C. the ease with which an asset is converted into a medium of exchange.
D. the sensitivity of investment spending to changes in the interest rate.",C. the ease with which an asset is converted into a medium of exchange.
2,"Menu costs refer to
A. resources used by people to maintain lower money holdings when inflation is high.
B. resources used to price shop during times of high inflation.
C. the distortion in incentives created by inflation when taxes do not adjust for inflation.
D. the cost of more frequent price changes induced by higher inflation.",D. the cost of more frequent price changes induced by higher inflation. 
3,"What is the consumer price index?
A. Is not very useful as a measure of the cost of living.
B. Is a perfect measure of the cost of living.
C. Is a useful measure, but not a perfect measure, of the cost of living.
D. Is not used as a measure of the cost of living.","C. Is a useful measure, but not a perfect measure, of the cost of living. "
4,"Which of the following is correct?
A. A checking deposit functions as a medium of exchange and as a store of value.
B. A checking deposit functions as a medium of exchange, but not as a store of value.
C. A checking deposit functions as a store of value, but not as a medium of exchange.
D. A checking deposit functions as neither a medium of exchange nor as a store of value.",A. A checking deposit functions as a medium of exchange and as a store of value.
5,"Fiat money is:
A. backed by gold.
B. the principal type of money in use today.
C. money with intrinsic value.
D. receipts created in international trade that are used as a medium of exchange.",B. the principal type of money in use today.
6,"If residents of Germany purchase 1.2 trillion euros in foreign assets and foreigners purchase 1.5 trillion euros in German assets, what is Germany's net capital outflow?
A. -0.3 trillion euros, indicating a trade deficit.
B. -0.3 trillion euros, indicating a trade surplus.
C. 0.3 trillion euros, indicating a trade deficit.
D. 0.3 trillion euros, indicating a trade surplus.","A. -0.3 trillion euros, indicating a trade deficit. "
7,"Bakery buys $5000 of flour from a farmer and uses the flour to make bread sold to the public for $20,000. Taking these two transactions into account, what is the effect on GDP?
A. GDP increases by $15,000.
B. GDP increases by $5000.
C. GDP increases by $18,000.
D. GDP increases by $20,000.","D. GDP increases by $20,000."
8,"If the nominal interest rate is 6 percent and the inflation rate is 2 percent, then what is the real interest rate?
A. 10 percent.
B. 4 percent.
C. 3 percent.
D. 2.5 percent.",B. 4 percent.
9,"The institution responsible for regulating the money supply in Vietnam is:
A. the Comptroller of the Currency.
B. the State Treasury of Vietnam.
C. the Federal Reserve system.
D. the State Bank of Vietnam.",D. the State Bank of Vietnam.
10,"In the economy of Avatar in 2022, consumption was $250, exports were $160, GDP was $580, government purchases were $170, imports were $170, and investment was $120. What were Avatar’s investment in 2022?
A. -$160.
B. -$40.
C. $160.
D. $40.",C. $160.
11,"In the economy of Avatar in 2022, consumption was $3500, exports were $1200, GDP was $9000, government purchases were $2700, imports were $1100. What were Avatar’s investment in 2022?
A. $1600.
B. $1700.
C. $2700.
D. $2800.",C. $2700
12,"What is a stock index?
A. Is an average of a group of stock prices.
B. Is an average of a group of stock yields.
C. Is a measure of the risk relative to the profitability of corporations.
D. Is a report in a newspaper or other media outlet on the price of the stock and earnings of the corporation that issued the stock.",A. Is an average of a group of stock prices.
13,"When Fed charges banks for its borrowings, the interest is called?
A. Federal funds rate.
B. Discount rate.
C. Reserve requirement.
D. Prime rate.",B. Discount rate
14,"What is a bond buyer?
A. Is a saver. Bond buyers must hold their bonds until maturity.
B. Is a saver. Bond buyers may sell their bonds prior to maturity.
C. Is a borrower. Bond buyers must hold their bonds until maturity.
D. Is a borrower. Bond buyers may sell their bonds prior to maturity.",B. Is a saver. Bond buyers may sell their bonds prior to maturity.
15,"American currency today is
A. Credit money.
B. Deposit money.
C. Commodity money.
D. Fiat money.",D. Fiat money
16,"Tom pays $700 for paint he uses to repaint a house. He then presents a bill for $1500 that covers his time and expenses to the homeowner. How much do these transactions add to GDP?
A. $700.
B. $2200.
C. $1500.
D. $800.",C. $1500
17,"When Fed sales government bonds, this
A. Decreases the quantity of money supplied and increases the federal funds rate.
B. Increases quantity of money supplied and decreases the federal funds rate.
C. Decreases the money supply and increases the federal funds rate.
D. Decreases the money supply and decreases the federal funds rate.",C. Decreases the money supply and increases the federal funds rate.
18,"What is it called when Brazilians buy Canadian government bonds?
A. Canadian imports.
B. Canadian exports.
C. Foreign portfolio investment by Brazilians.
D. Foreign direct investment by Brazilians.",C. Foreign portfolio investment by Brazilians.
19,"When the Bank of Canada uses open market operations to lower the overnight rate, the
A. Demand for bonds increases.
B. Demand for bonds decreases.
C. Supply of bonds increases.
D. Supply of bonds decreases.",A. Demand for bonds increases.
20,"Which of the following is correct?
A. When a country saves a larger portion of its GDP than it did before, it will have more capital and higher productivity.
B. When a country saves a larger portion of its GDP than it did before, it will have more capital and lower productivity.
C. When a country saves a larger portion of its GDP than it did before, it will have less capital and higher productivity.
D. When a country saves a larger portion of its GDP than it did before, it will have less capital and lower productivity.","A. When a country saves a larger portion of its GDP than it did before, it will have more capital and higher productivity."
21,"If in some year nominal GDP was $8 trillion and real GDP was $5 trillion, what was the GDP deflator?
A. 16
B. 62.5
C. 160
D. 625",C. 160
