Ax Value,Column Header,Cell Value
bfdcaba4,53471ba6,2004
e9fba5a7,53471ba6,2004
98cc0fdb,53471ba6,2004
23fdcb4a,53471ba6,2004
c79fc1b9,53471ba6,2004
2230aad8,53471ba6,2003
0ab6e7b9,53471ba6,2004
bafddefb,53471ba6,2003
efe8f68a,53471ba6,2005
e4e62737,53471ba6,2003
e2b67149,53471ba6,2004
feff967e,53471ba6,2003
b6b100aa,53471ba6,2004
fbbb7ddc,53471ba6,2005
2f82faa7,53471ba6,2005
8cff71af,53471ba6,2005
1dade73e,53471ba6,2004
bbedf160,53471ba6,2003
dcac1c19,53471ba6,2004
510ad75d,53471ba6,2005
d6e41cbc,53471ba6,2005
36e7d7bd,53471ba6,2005
fe3b0cdf,53471ba6,2006
41ec9ca1,53471ba6,2006
b5ad97f9,53471ba6,2005
4f5efc79,53471ba6,2005
ab1d9e26,53471ba6,2003
48ff37ec,53471ba6,2004
47ccfe97,53471ba6,2004
f45c3baf,53471ba6,2004
fa93c72d,53471ba6,2004
4f1ed8ef,53471ba6,2004
5bebccde,53471ba6,2004
c5d7fbcf,53471ba6,2003
5ddbee1d,53471ba6,2004
9b52d2a2,53471ba6,2004
bb9cf771,53471ba6,2004
b7c6bb38,53471ba6,2004
2ccb7075,53471ba6,2004
dc323b52,53471ba6,2004
79ed56ea,53471ba6,2003
de0c4f72,53471ba6,2002
ad24ed52,53471ba6,2003
4aa55713,53471ba6,2004
2ad2d1b3,53471ba6,2004
f3cd7ac7,53471ba6,2003
e1eac1a6,53471ba6,2003
c4bd9c8e,53471ba6,2005
fecb7672,53471ba6,2003
6f89d67f,53471ba6,2003
ecdb8404,53471ba6,2004
bfdcaba4,e4abdf92,Male
e9fba5a7,e4abdf92,Female
98cc0fdb,e4abdf92,Male
23fdcb4a,e4abdf92,Female
c79fc1b9,e4abdf92,Female
2230aad8,e4abdf92,Male
0ab6e7b9,e4abdf92,Female
bafddefb,e4abdf92,Male
efe8f68a,e4abdf92,Male
e4e62737,e4abdf92,Male
e2b67149,e4abdf92,Female
feff967e,e4abdf92,Female
b6b100aa,e4abdf92,Male
fbbb7ddc,e4abdf92,Male
2f82faa7,e4abdf92,Male
8cff71af,e4abdf92,Male
1dade73e,e4abdf92,Female
bbedf160,e4abdf92,Male
dcac1c19,e4abdf92,Female
510ad75d,e4abdf92,Female
d6e41cbc,e4abdf92,Female
36e7d7bd,e4abdf92,Male
fe3b0cdf,e4abdf92,Male
41ec9ca1,e4abdf92,Female
b5ad97f9,e4abdf92,Female
4f5efc79,e4abdf92,Female
ab1d9e26,e4abdf92,Male
48ff37ec,e4abdf92,Female
47ccfe97,e4abdf92,Female
f45c3baf,e4abdf92,Male
fa93c72d,e4abdf92,Other
4f1ed8ef,e4abdf92,Female
5bebccde,e4abdf92,Male
c5d7fbcf,e4abdf92,Male
5ddbee1d,e4abdf92,Male
9b52d2a2,e4abdf92,Male
bb9cf771,e4abdf92,Female
b7c6bb38,e4abdf92,Female
2ccb7075,e4abdf92,Female
dc323b52,e4abdf92,Female
79ed56ea,e4abdf92,Male
de0c4f72,e4abdf92,Male
ad24ed52,e4abdf92,Female
4aa55713,e4abdf92,Female
2ad2d1b3,e4abdf92,Female
f3cd7ac7,e4abdf92,Female
e1eac1a6,e4abdf92,Male
c4bd9c8e,e4abdf92,Male
fecb7672,e4abdf92,Female
6f89d67f,e4abdf92,Female
ecdb8404,e4abdf92,Female
bfdcaba4,12b9d486,Private School
e9fba5a7,12b9d486,Public School
98cc0fdb,12b9d486,Public School
23fdcb4a,12b9d486,Public School
c79fc1b9,12b9d486,Public School
2230aad8,12b9d486,Private School
0ab6e7b9,12b9d486,Private School
bafddefb,12b9d486,Public School
efe8f68a,12b9d486,Private School
e4e62737,12b9d486,Public School
e2b67149,12b9d486,Public School
feff967e,12b9d486,Private School
b6b100aa,12b9d486,Public School
fbbb7ddc,12b9d486,Public School
2f82faa7,12b9d486,Private School
8cff71af,12b9d486,Public School
1dade73e,12b9d486,Public School
bbedf160,12b9d486,Private School
dcac1c19,12b9d486,Public School
510ad75d,12b9d486,Public School
d6e41cbc,12b9d486,Public School
36e7d7bd,12b9d486,Private School
fe3b0cdf,12b9d486,Private School
41ec9ca1,12b9d486,Private School
b5ad97f9,12b9d486,Public School
4f5efc79,12b9d486,Public School
ab1d9e26,12b9d486,Public School
48ff37ec,12b9d486,Public School
47ccfe97,12b9d486,Public School
f45c3baf,12b9d486,Private School
fa93c72d,12b9d486,Public School
4f1ed8ef,12b9d486,Public School
5bebccde,12b9d486,Private School
c5d7fbcf,12b9d486,Public School
5ddbee1d,12b9d486,Private School
9b52d2a2,12b9d486,Private School
bb9cf771,12b9d486,Public School
b7c6bb38,12b9d486,Private School
2ccb7075,12b9d486,Public School
dc323b52,12b9d486,Private School
79ed56ea,12b9d486,Private School
de0c4f72,12b9d486,Private School
ad24ed52,12b9d486,Private School
4aa55713,12b9d486,Public School
2ad2d1b3,12b9d486,Private School
f3cd7ac7,12b9d486,Private School
